lemma	POS	freq	declension
сокол	S	41	2
ветка	S	40	1
печка	S	40	1
мимо	PR	40	
видно	ADV	40	
страшный	A	40	
вместе	ADV	40	
хотеться	V	40	
поехать	V	40	
курочка	S	39	1
а	S	39	Н
улица	S	39	1
теплый	A	39	
вечер	S	39	2
один	ANUM	39	
домик	S	39	2
дитя	S	39	Р
коза	S	38	1
петушок	S	38	2
перед	PR	38	
слушать	V	38	
бить	V	38	
игрушка	S	38	1
пора	S	38	1
решать	V	38	
ах	INTJ	38	
голос	S	38	2
береговушка	S	38	1
таффи	S	38	Н
песенка	S	37	1
длинный	A	37	
репка	S	37	1
внучка	S	37	1
город	S	37	2
называть	V	37	
прекрасный	A	37	
е	S	37	Н
замечать	V	37	
рыбка	S	37	1
копье	S	37	2
бывать	V	37	
дочка	S	36	1
рот	S	36	2
воздух	S	36	2
однажды	ADV	36	
спина	S	36	1
ладно	PART	36	
заплакать	V	36	
конечно	ADV	36	
синий	A	36	
наконец	ADV	36	
летать	V	36	
женя	S	36	1
полагать	V	35	
обрадоваться	V	35	
смеяться	V	35	
собираться	V	35	
подниматься	V	35	
сила	S	35	1
ясный	A	35	
купить	V	35	
рано	ADV	34	
зачем	ADVPRO	34	
пить	V	34	
лисичка	S	34	1
гость	S	34	2
м	S	34	Н
веселый	A	34	
беда	S	34	1
прибегать	V	34	
доктор	S	34	2
схватывать	V	34	
вести	V	34	
уметь	V	34	
настоящий	A	34	
милый	A	33	
скакать	V	33	
еж	S	33	2
молодец	S	33	2
расти	V	33	
всегда	ADVPRO	33	
рядом	ADV	33	
полететь	V	33	
доставать	V	33	
высоко	ADV	33	
конец	S	33	2
мать	S	33	3
чудо	S	33	2
финист	S	33	2
степка	S	33	1
ой	INTJ	32	
колючий	A	32	
падать	V	32	
муха	S	32	1
играть	V	32	
страна	S	32	1
лицо	S	32	2
ребята	S	32	T
оно	SPRO	32	
бросаться	V	32	
дома	ADV	32	
зайчиха	S	32	1
похожий	A	32	
колодец	S	32	2
узнавать	V	32	
лошадь	S	32	3
молоко	S	31	2
попадать	V	31	
просыпаться	V	31	
песня	S	31	1
бабка	S	31	1
останавливаться	V	31	
сон	S	31	2
палка	S	31	1
поймать	V	31	
прямо	PART	31	
появляться	V	31	
удивляться	V	31	
придумывать	V	31	
пока	CONJ	31	
черепаха	S	31	1
нужный	A	31	
держать	V	31	
баба	S	30	1
пол	S	30	2
дорогой	A	30	
отпускать	V	30	
слышать	V	30	
нельзя	ADV	30	
чуть	ADV	30	
ворона	S	30	1
забывать	V	30	
какой-то	APRO	30	
выгонять	V	30	
лесной	A	29	
б	PART	29	
близко	ADV	29	
их	APRO	29	
нора	S	29	1
глупый	A	29	
гореть	V	29	
рог	S	29	2
чем	CONJ	29	
змея	S	29	1
незнакомец	S	29	2
крыло	S	28	2
пушистый	A	28	
убегать	V	28	
шуба	S	28	1
сегодня	ADV	28	
лед	S	28	2
прилетать	V	28	
громко	ADV	28	
умный	A	28	
брать	V	28	
разный	A	28	
скала	S	28	1
услышать	V	28	
рукодельница	S	28	1
речка	S	27	1
кря	INTJ	27	
открывать	V	27	
голубой	A	27	
вырастать	V	27	
навстречу	ADV	27	
мягкий	A	27	
закрывать	V	27	
встречать	V	27	
показывать	V	27	
попросить	V	27	
живой	A	27	
улетать	V	27	
будто	CONJ	27	
ж	PART	27	
сердце	S	27	2
сапог	S	27	2
велеть	V	27	
кит	S	27	2
степа	S	27	1
нужно	ADV	27	
айболит	S	27	2
племя	S	27	Р
дракон	S	27	2
жена	S	26	1
огромный	A	26	
входить	V	26	
квакушка	S	26	1
пусть	PART	26	
ведро	S	26	2
звезда	S	26	1
картинка	S	26	1
деревня	S	26	1
болото	S	26	2
никогда	ADVPRO	26	
колесо	S	26	2
грядка	S	26	1
все-таки	PART	26	
бегать	V	26	
плыть	V	26	
береза	S	26	1
волна	S	26	1
ржавчина	S	26	1
прийти	V	25	
работа	S	25	1
яблочко	S	25	2
ку	S	25	Н
э	INTJ	25	
острый	A	25	
терем	S	25	2
влезать	V	25	
успевать	V	25	
выскочить	V	25	
простой	A	25	
вылезать	V	25	
темный	A	25	
больше	ADV	25	
вниз	ADV	25	
как-то	ADVPRO	25	
ударять	V	25	
четыре	NUM	25	
гнездо	S	25	2
будто	PART	25	
